System Statistics Report
Created On:,"Nov 01, 2022"
School:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Delivery type:,"Printer, Phone - voice (inbound), Phone - TTY, Phone - text message (SMS), Internet (WWW), Phone - voice, E-Mail"
""
Organization,Delivery Method,# Messages
SBBCOM 300 School 55,Printer,0
SBBCOM 300 School 55,Phone - voice (inbound),0
SBBCOM 300 School 55,Phone - TTY,0
SBBCOM 300 School 55,Phone - text message (SMS),0
SBBCOM 300 School 55,Internet (WWW),0
SBBCOM 300 School 55,Phone - voice,0
SBBCOM 300 School 55,E-Mail,0
SBBCOM 300 School 55,Grand Totals,0
SBBCOM 300 School 56,Printer,0
SBBCOM 300 School 56,Phone - voice (inbound),0
SBBCOM 300 School 56,Phone - TTY,0
SBBCOM 300 School 56,Phone - text message (SMS),0
SBBCOM 300 School 56,Internet (WWW),0
SBBCOM 300 School 56,Phone - voice,0
SBBCOM 300 School 56,E-Mail,0
SBBCOM 300 School 56,Grand Totals,0
SBBCOM 300 School 60,Printer,0
SBBCOM 300 School 60,Phone - voice (inbound),0
SBBCOM 300 School 60,Phone - TTY,0
SBBCOM 300 School 60,Phone - text message (SMS),0
SBBCOM 300 School 60,Internet (WWW),0
SBBCOM 300 School 60,Phone - voice,0
SBBCOM 300 School 60,E-Mail,0
SBBCOM 300 School 60,Grand Totals,0
SBBCOM 300 School 61,Printer,0
SBBCOM 300 School 61,Phone - voice (inbound),0
SBBCOM 300 School 61,Phone - TTY,0
SBBCOM 300 School 61,Phone - text message (SMS),0
SBBCOM 300 School 61,Internet (WWW),0
SBBCOM 300 School 61,Phone - voice,0
SBBCOM 300 School 61,E-Mail,0
SBBCOM 300 School 61,Grand Totals,0
SBBCOM 300 School 64,Printer,0
SBBCOM 300 School 64,Phone - voice (inbound),0
SBBCOM 300 School 64,Phone - TTY,0
SBBCOM 300 School 64,Phone - text message (SMS),0
SBBCOM 300 School 64,Internet (WWW),0
SBBCOM 300 School 64,Phone - voice,0
SBBCOM 300 School 64,E-Mail,0
SBBCOM 300 School 64,Grand Totals,0
SBBCOM 300 School 65,Printer,0
SBBCOM 300 School 65,Phone - voice (inbound),0
SBBCOM 300 School 65,Phone - TTY,0
SBBCOM 300 School 65,Phone - text message (SMS),0
SBBCOM 300 School 65,Internet (WWW),0
SBBCOM 300 School 65,Phone - voice,0
SBBCOM 300 School 65,E-Mail,0
SBBCOM 300 School 65,Grand Totals,0
SBOA,Printer,0
SBOA,Phone - voice (inbound),0
SBOA,Phone - TTY,0
SBOA,Phone - text message (SMS),0
SBOA,Internet (WWW),0
SBOA,Phone - voice,0
SBOA,E-Mail,0
SBOA,Grand Totals,0
School_of_automation,Printer,0
School_of_automation,Phone - voice (inbound),0
School_of_automation,Phone - TTY,0
School_of_automation,Phone - text message (SMS),0
School_of_automation,Internet (WWW),0
School_of_automation,Phone - voice,0
School_of_automation,E-Mail,0
School_of_automation,Grand Totals,0
District School of Automation,Printer,0
District School of Automation,Phone - voice (inbound),0
District School of Automation,Phone - TTY,0
District School of Automation,Phone - text message (SMS),0
District School of Automation,Internet (WWW),0
District School of Automation,Phone - voice,0
District School of Automation,E-Mail,0
District School of Automation,Grand Totals,0
SPL9 Elementary,Printer,0
SPL9 Elementary,Phone - voice (inbound),0
SPL9 Elementary,Phone - TTY,0
SPL9 Elementary,Phone - text message (SMS),0
SPL9 Elementary,Internet (WWW),0
SPL9 Elementary,Phone - voice,0
SPL9 Elementary,E-Mail,0
SPL9 Elementary,Grand Totals,0
Automation institute,Printer,0
Automation institute,Phone - voice (inbound),0
Automation institute,Phone - TTY,0
Automation institute,Phone - text message (SMS),0
Automation institute,Internet (WWW),0
Automation institute,Phone - voice,0
Automation institute,E-Mail,0
Automation institute,Grand Totals,0
SPL9 Middle School,Printer,0
SPL9 Middle School,Phone - voice (inbound),0
SPL9 Middle School,Phone - TTY,0
SPL9 Middle School,Phone - text message (SMS),0
SPL9 Middle School,Internet (WWW),0
SPL9 Middle School,Phone - voice,0
SPL9 Middle School,E-Mail,0
SPL9 Middle School,Grand Totals,0
SPL9 Test,Printer,0
SPL9 Test,Phone - voice (inbound),0
SPL9 Test,Phone - TTY,0
SPL9 Test,Phone - text message (SMS),0
SPL9 Test,Internet (WWW),0
SPL9 Test,Phone - voice,0
SPL9 Test,E-Mail,0
SPL9 Test,Grand Totals,0
Springfield Elementary,Printer,0
Springfield Elementary,Phone - voice (inbound),0
Springfield Elementary,Phone - TTY,0
Springfield Elementary,Phone - text message (SMS),0
Springfield Elementary,Internet (WWW),0
Springfield Elementary,Phone - voice,0
Springfield Elementary,E-Mail,0
Springfield Elementary,Grand Totals,0
Springtime Elementary from UK,Printer,0
Springtime Elementary from UK,Phone - voice (inbound),0
Springtime Elementary from UK,Phone - TTY,0
Springtime Elementary from UK,Phone - text message (SMS),0
Springtime Elementary from UK,Internet (WWW),0
Springtime Elementary from UK,Phone - voice,0
Springtime Elementary from UK,E-Mail,0
Springtime Elementary from UK,Grand Totals,0
St Barts,Printer,0
St Barts,Phone - voice (inbound),0
St Barts,Phone - TTY,0
St Barts,Phone - text message (SMS),0
St Barts,Internet (WWW),0
St Barts,Phone - voice,0
St Barts,E-Mail,0
St Barts,Grand Totals,0
St Francis Legacy,Printer,0
St Francis Legacy,Phone - voice (inbound),0
St Francis Legacy,Phone - TTY,0
St Francis Legacy,Phone - text message (SMS),0
St Francis Legacy,Internet (WWW),0
St Francis Legacy,Phone - voice,0
St Francis Legacy,E-Mail,0
St Francis Legacy,Grand Totals,0
St Patrick's Academy,Printer,0
St Patrick's Academy,Phone - voice (inbound),0
St Patrick's Academy,Phone - TTY,0
St Patrick's Academy,Phone - text message (SMS),0
St Patrick's Academy,Internet (WWW),0
St Patrick's Academy,Phone - voice,0
St Patrick's Academy,E-Mail,0
St Patrick's Academy,Grand Totals,0
St. Antony's Higher Secondary School,Printer,0
St. Antony's Higher Secondary School,Phone - voice (inbound),0
St. Antony's Higher Secondary School,Phone - TTY,0
St. Antony's Higher Secondary School,Phone - text message (SMS),0
St. Antony's Higher Secondary School,Internet (WWW),0
St. Antony's Higher Secondary School,Phone - voice,0
St. Antony's Higher Secondary School,E-Mail,0
St. Antony's Higher Secondary School,Grand Totals,0
StageSchool,Printer,0
StageSchool,Phone - voice (inbound),0
StageSchool,Phone - TTY,0
StageSchool,Phone - text message (SMS),0
StageSchool,Internet (WWW),0
StageSchool,Phone - voice,0
StageSchool,E-Mail,0
StageSchool,Grand Totals,0
Student Regression,Printer,0
Student Regression,Phone - voice (inbound),0
Student Regression,Phone - TTY,0
Student Regression,Phone - text message (SMS),0
Student Regression,Internet (WWW),0
Student Regression,Phone - voice,0
Student Regression,E-Mail,0
Student Regression,Grand Totals,0
Sunnydale High School,Printer,0
Sunnydale High School,Phone - voice (inbound),0
Sunnydale High School,Phone - TTY,0
Sunnydale High School,Phone - text message (SMS),0
Sunnydale High School,Internet (WWW),0
Sunnydale High School,Phone - voice,0
Sunnydale High School,E-Mail,0
Sunnydale High School,Grand Totals,0
Sunshine High School,Printer,0
Sunshine High School,Phone - voice (inbound),0
Sunshine High School,Phone - TTY,0
Sunshine High School,Phone - text message (SMS),0
Sunshine High School,Internet (WWW),0
Sunshine High School,Phone - voice,0
Sunshine High School,E-Mail,0
Sunshine High School,Grand Totals,0
Sunshine Elementary School,Printer,0
Sunshine Elementary School,Phone - voice (inbound),0
Sunshine Elementary School,Phone - TTY,0
Sunshine Elementary School,Phone - text message (SMS),0
Sunshine Elementary School,Internet (WWW),0
Sunshine Elementary School,Phone - voice,0
Sunshine Elementary School,E-Mail,0
Sunshine Elementary School,Grand Totals,0
Sunshine Middle School,Printer,0
Sunshine Middle School,Phone - voice (inbound),0
Sunshine Middle School,Phone - TTY,0
Sunshine Middle School,Phone - text message (SMS),0
Sunshine Middle School,Internet (WWW),0
Sunshine Middle School,Phone - voice,0
Sunshine Middle School,E-Mail,0
Sunshine Middle School,Grand Totals,0
Sunshine school of education,Printer,0
Sunshine school of education,Phone - voice (inbound),0
Sunshine school of education,Phone - TTY,0
Sunshine school of education,Phone - text message (SMS),0
Sunshine school of education,Internet (WWW),0
Sunshine school of education,Phone - voice,0
Sunshine school of education,E-Mail,0
Sunshine school of education,Grand Totals,0
Test Demo 1,Printer,0
Test Demo 1,Phone - voice (inbound),0
Test Demo 1,Phone - TTY,0
Test Demo 1,Phone - text message (SMS),0
Test Demo 1,Internet (WWW),0
Test Demo 1,Phone - voice,0
Test Demo 1,E-Mail,0
Test Demo 1,Grand Totals,0
Test site DMS,Printer,0
Test site DMS,Phone - voice (inbound),0
Test site DMS,Phone - TTY,0
Test site DMS,Phone - text message (SMS),0
Test site DMS,Internet (WWW),0
Test site DMS,Phone - voice,0
Test site DMS,E-Mail,0
Test site DMS,Grand Totals,0
Test site2 DMS,Printer,0
Test site2 DMS,Phone - voice (inbound),0
Test site2 DMS,Phone - TTY,0
Test site2 DMS,Phone - text message (SMS),0
Test site2 DMS,Internet (WWW),0
Test site2 DMS,Phone - voice,0
Test site2 DMS,E-Mail,0
Test site2 DMS,Grand Totals,0
Test SPL9 High School,Printer,0
Test SPL9 High School,Phone - voice (inbound),0
Test SPL9 High School,Phone - TTY,0
Test SPL9 High School,Phone - text message (SMS),0
Test SPL9 High School,Internet (WWW),0
Test SPL9 High School,Phone - voice,0
Test SPL9 High School,E-Mail,0
Test SPL9 High School,Grand Totals,0
Tom Landry Middle School,Printer,0
Tom Landry Middle School,Phone - voice (inbound),0
Tom Landry Middle School,Phone - TTY,0
Tom Landry Middle School,Phone - text message (SMS),0
Tom Landry Middle School,Internet (WWW),0
Tom Landry Middle School,Phone - voice,0
Tom Landry Middle School,E-Mail,0
Tom Landry Middle School,Grand Totals,0
Velammal,Printer,0
Velammal,Phone - voice (inbound),0
Velammal,Phone - TTY,0
Velammal,Phone - text message (SMS),0
Velammal,Internet (WWW),0
Velammal,Phone - voice,0
Velammal,E-Mail,0
Velammal,Grand Totals,0
Washington Elementary School,Printer,0
Washington Elementary School,Phone - voice (inbound),0
Washington Elementary School,Phone - TTY,0
Washington Elementary School,Phone - text message (SMS),0
Washington Elementary School,Internet (WWW),0
Washington Elementary School,Phone - voice,0
Washington Elementary School,E-Mail,0
Washington Elementary School,Grand Totals,0
Westdale High School,Printer,0
Westdale High School,Phone - voice (inbound),0
Westdale High School,Phone - TTY,0
Westdale High School,Phone - text message (SMS),0
Westdale High School,Internet (WWW),0
Westdale High School,Phone - voice,0
Westdale High School,E-Mail,0
Westdale High School,Grand Totals,0
